Date,AccountID,AccountName,orderid,OrderCreateDate,OrderStatus,OrderStatusReason,FirstSuspended,PrePaidAccounts,ExpectedCartRuns,FOMCardRuns,FOM_Successful_CardRuns,Total_Payment_Attempts,SuccessfulPayments,CurrentBalance,CancelledCase,Cancel_CaseCreateDate
2026-09-01,24392,Warm Hearts Care,29985,2026-04-21,Suspended,InsufficientBalance,2026-09-05,1,1,2,0,2,0,-49.01,0,
2026-09-01,23210,Mothers Chest Care,28538,2026-02-02,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,2,0,0.00,0,
2026-09-01,25281,Gentle Care Touch,31086,2026-06-18,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,1,0,0.00,0,
2026-09-01,24916,Desert Bloom Companions LLC,30639,2026-05-26,Suspended,InsufficientBalance,2026-07-11,1,1,1,0,2,0,0.00,0,
2026-09-01,24358,Allied Home Care LLC,29931,2026-04-16,Suspended,InsufficientBalance,2026-09-01,1,1,5,0,5,0,0.00,0,
2026-09-01,24517,COMPANIONSHIP HOMEMAKER SERVICE,30183,2026-04-30,Suspended,InsufficientBalance,2026-07-20,1,1,1,0,1,0,0.00,0,
2026-09-01,24119,Love Living Well Home Health Care-,29649,2026-03-31,Suspended,InsufficientBalance,2026-08-12,1,1,1,0,2,0,0.00,0,
2026-09-01,25059,Serenity Bridge Home Care LLC,30810,2026-06-04,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,0.00,0,
2026-09-01,25571,Hayes Home Healthcare LLC,31476,2026-07-10,Suspended,InsufficientBalance,2026-08-14,1,1,1,0,2,0,0.00,0,
2026-09-01,24838,Angel Care,30539,2026-05-20,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,0.00,0,
2026-09-01,24380,P&J Homecare Services LLC,29972,2026-04-20,Suspended,InsufficientBalance,2026-06-22,1,1,1,0,2,0,0.00,0,
2026-09-01,25058,SIX7ONE8 LLC,30809,2026-06-04,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,2,0,0.00,0,
2026-09-01,22460,EverCare Home Health,31463,2026-07-10,Suspended,InsufficientBalance,2026-08-15,1,1,1,0,2,0,0.00,0,
2026-09-01,25290,Northwoods Home Health LLC,31097,2026-06-19,Suspended,InsufficientBalance,2026-07-10,1,1,1,0,1,0,0.00,0,
2026-09-01,22771,Shalon's Caring Hands,30493,2026-05-18,Suspended,Account Suspended,2026-09-01,1,1,1,0,1,0,-522.00,0,
2026-09-01,8642,Ease In the Home Care,29454,2026-03-23,Suspended,Account Suspended,2026-09-01,1,1,1,0,2,0,-116.00,0,
2026-09-01,22993,DHC Noble Care,31010,2026-06-15,Suspended,InsufficientBalance,2026-08-20,1,1,1,0,1,0,0.00,0,
2026-09-01,24988,Hands Out Of Love Home Health,30729,2026-06-01,Suspended,InsufficientBalance,2026-08-19,1,1,1,0,1,0,0.00,0,
2026-09-01,24819,Precious Hands And Hearts Home Care LLC,30517,2026-05-19,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,0.00,0,
2026-09-01,25065,Believers Home Health Care LLC,30817,2026-06-04,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,0.00,0,
2026-09-01,23289,Uprise Care LLC,28627,2026-02-05,Suspended,Account Suspended,2026-09-01,1,1,1,0,1,0,-58.00,0,
2026-09-01,24358,Allied Home Care LLC,31453,2026-07-09,Suspended,InsufficientBalance,2026-09-01,1,1,5,0,5,0,0.00,0,
2026-09-01,25762,Dharma Home Care,31755,2026-07-27,Suspended,Account Suspended,2026-09-01,1,1,1,0,1,0,-58.00,0,
2026-09-01,20090,Trusting Hand LLC,30642,2026-05-26,Suspended,InsufficientBalance,2026-07-08,1,1,1,0,2,0,0.00,0,
2026-09-01,23145,"Eden Home Cares, LLC",28445,2026-01-28,Suspended,Account Suspended,2026-09-01,1,1,1,0,2,0,-232.00,0,
2026-09-01,3028,"Care For All Homecare, LLC - Atlanta, GA",28292,2026-01-20,Suspended,InsufficientBalance,2026-08-10,1,1,1,0,2,0,0.00,0,
2026-09-01,22993,DHC Noble Care,28240,2026-01-15,Cancelled,Agency Reasons,2026-06-17,1,1,1,0,1,0,0.00,1,2026-04-10
2026-09-01,24358,Allied Home Care LLC,31454,2026-07-09,Suspended,InsufficientBalance,2026-09-01,1,1,5,0,5,0,0.00,0,
2026-09-01,25145,Best In Town Home Care Services LLC,30919,2026-06-10,Cancelled,Lead Quality,2026-07-29,1,1,0,0,1,1,-580.00,1,2026-06-25
2026-09-01,9648,"Senior Services Options - Belton, MO",30837,2026-06-05,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,0.00,0,
2026-09-01,25311,Nelson's Private Care1,31121,2026-06-22,Suspended,InsufficientBalance,2026-07-09,1,1,1,0,2,0,0.00,0,
2026-09-01,25088,Lead Healthcare Services LLC,30850,2026-06-05,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,0.00,0,
2026-09-01,24802,Martell & Company Home Care And Assistance,30497,2026-05-18,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,0.00,0,
2026-09-01,25322,Alrene Caring LLC,31135,2026-06-22,Suspended,InsufficientBalance,2026-08-14,1,1,1,0,1,0,-23.00,0,
2026-09-01,25445,Ida Mae Homecare Services,31302,2026-06-30,Suspended,InsufficientBalance,2026-08-12,1,1,1,0,2,0,0.00,0,
2026-09-01,25471,Ahavah Care At Home LLC,31334,2026-07-01,Suspended,InsufficientBalance,2026-08-05,1,1,1,0,1,0,0.00,0,
2026-09-01,25522,Agape Senior Care Services LLC,31408,2026-07-08,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,0.00,0,
2026-09-01,19996,"Halcyon Home Care, LLC",31060,2026-06-18,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,0.00,0,
2026-09-01,25873,Comforting Ark Agency LLC,31906,2026-08-05,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,0.00,0,
2026-09-01,23169,Cousinz Home Health,30785,2026-06-03,Suspended,InsufficientBalance,2026-08-13,1,1,1,0,1,0,-23.00,0,
2026-09-01,25427,Transformed To Inspire LLC,31277,2026-06-29,Suspended,InsufficientBalance,2026-08-14,1,1,1,0,2,0,0.00,0,
2026-09-01,24463,Sally Home Care LLC,30080,2026-04-27,Suspended,Account Suspended,2026-09-01,1,1,1,0,1,0,-81.00,0,
2026-09-01,9463,A & N Healing Hearts Inc,30349,2026-05-11,Suspended,Account Suspended,2026-09-01,1,1,1,0,2,0,-58.00,0,
2026-09-01,13489,Life and Abundance Ent. LLC,29871,2026-04-14,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,2,0,0.00,0,
